Country/Region,Confirmed,Recovered,Deaths
Algeria,27973,18837,1163
Angola,950,242,41
Benin,1770,1036,35
Botswana,739,63,2
Burkina Faso,1100,926,53
Burundi,378,301,1
Cabo Verde,2328,1550,22
Cameroon,17110,14539,391
Central African Republic,4599,1546,59
Chad,922,810,75
Comoros,354,328,7
Cote d'Ivoire,15655,10361,96
Djibouti,5059,4977,58
Egypt,92482,34838,4652
Equatorial Guinea,3071,842,51
Eritrea,265,191,0
Eswatini,2316,1025,34
Ethiopia,14547,6386,228
Gabon,7189,4682,49
Gambia,326,66,8
Ghana,33624,29801,168
Guinea,7055,6257,45
Guinea-Bissau,1954,803,26
Kenya,17975,7833,285
Lesotho,505,128,12
Liberia,1167,646,72
Libya,2827,577,64
Madagascar,9690,6260,91
Malawi,3664,1645,99
Mali,2513,1913,124
Mauritania,6208,4653,156
Mauritius,344,332,10
Morocco,20887,16553,316
Mozambique,1701,0,11
Namibia,1843,101,8
Niger,1132,1027,69
Nigeria,41180,18203,860
Rwanda,1879,975,5
Sao Tome and Principe,865,734,14
Senegal,9764,6477,194
Seychelles,114,39,0
Sierra Leone,1783,1317,66
Somalia,3196,1543,93
South Africa,452529,274925,7067
South Sudan,2305,1175,46
Sudan,11424,5939,720
Tanzania,509,183,21
Togo,874,607,18
Tunisia,1455,1157,50
Uganda,1128,986,2
Zambia,4552,2815,140
Zimbabwe,2704,542,36
